date,eur_usd_rate,previous_eur_pricing,percent_change_pricing,5_days_rolling_mean_pricing,10_days_rolling_mean_pricing,60_days_rolling_mean_pricing,120_days_rolling_mean_pricing,5_days_exp_rolling_mean_pricing,10_days_exp_rolling_mean_pricing,60_days_exp_rolling_mean_pricing,120_days_exp_rolling_mean_pricing
2000-11-02,0.8646,0.8554,1.075520224456393,0.8405800000000004,0.8396199999999989,0.8736616666666667,0.9041558333333343,0.844863062787941,0.8444075396911019,0.8724422044298331,0.8972599098582817
2000-11-03,0.873,0.8646,0.9715475364330283,0.8484600000000005,0.8419699999999988,0.87302,0.9039091666666675,0.8514420418586274,0.8480788961109016,0.8721850829731173,0.8967200766374838
2000-11-06,0.8667,0.873,-0.7216494845360794,0.8565800000000007,0.8447499999999988,0.8723499999999998,0.9037883333333343,0.8586280279057517,0.8526100059089194,0.8722118015641626,0.8963280092550461
2000-11-07,0.8587,0.8667,-0.9230414214837899,0.8602800000000006,0.8476499999999987,0.8717766666666666,0.9035108333333342,0.8613186852705013,0.8551718230163886,0.8720310867587802,0.8958382900938057
2000-11-08,0.8559,0.8587,-0.32607429835798585,0.8636800000000004,0.8496599999999989,0.8708916666666666,0.9030741666666675,0.8604457901803343,0.8558133097406815,0.8715940019470169,0.8952244340591974
2000-11-09,0.8531,0.8559,-0.3271410211473332,0.8637800000000004,0.8521799999999988,0.8700366666666665,0.9026250000000008,0.8589305267868896,0.8558290716060122,0.8710794445061311,0.8945744434135908
2000-11-10,0.8673,0.8531,1.6645176415426084,0.8614800000000005,0.8549699999999987,0.8690216666666665,0.9022500000000008,0.8569870178579265,0.8553328767685553,0.8704899545223235,0.8938889154232835
2000-11-13,0.862,0.8673,-0.6110918943848693,0.8603400000000004,0.8584599999999988,0.8682649999999997,0.9018583333333342,0.8604246785719512,0.8575087173560907,0.8703853658494605,0.89344942921794
2000-11-14,0.8583,0.862,-0.42923433874710404,0.8594000000000005,0.8598399999999987,0.8675933333333332,0.9013233333333341,0.8609497857146342,0.8583253142004378,0.8701104358216093,0.8929296039416106
2000-11-15,0.8596,0.8583,0.15146219270652206,0.8593200000000005,0.8614999999999988,0.8669449999999999,0.9006766666666675,0.8600665238097562,0.85832071161854,0.8697232084176221,0.8923572137938154
2000-11-16,0.8569,0.8596,-0.3140995812005625,0.8600600000000005,0.8619199999999989,0.8664083333333331,0.9000875000000008,0.8599110158731709,0.858553309506078,0.8693912999449132,0.8918157722435044
2000-11-17,0.8535,0.8569,-0.3967790874080941,0.8608200000000007,0.8611499999999989,0.8656699999999998,0.899453333333334,0.8589073439154473,0.8582527077777,0.8689817491270471,0.8912386520411325
2000-11-20,0.8488,0.8535,-0.5506736965436482,0.8580600000000007,0.859199999999999,0.8648599999999999,0.8987700000000006,0.8571048959436316,0.8573885790908454,0.8684741507950128,0.8906148726685519
2000-11-21,0.8474,0.8488,-0.1649387370405227,0.8554200000000007,0.8574099999999991,0.8639949999999997,0.8979825000000007,0.8543365972957544,0.8558270192561462,0.8678290966705862,0.8899237177484105
2000-11-22,0.8429,0.8474,-0.531036110455518,0.8532400000000008,0.856279999999999,0.8631766666666664,0.8971400000000006,0.8520243981971697,0.8542948339368468,0.8671592902223703,0.8892208463806682
2000-11-23,0.8427,0.8429,-0.023727607070824296,0.8499000000000008,0.8549799999999991,0.8623766666666663,0.8962025000000007,0.8489829321314466,0.8522230459483291,0.8663639036577023,0.8884552125561944
2000-11-24,0.8436,0.8427,0.10679957280171021,0.8470600000000008,0.8539399999999991,0.861578333333333,0.8951683333333339,0.8468886214209645,0.8504915830486328,0.8655880379640071,0.8876989280511334
2000-11-27,0.8406,0.8436,-0.35561877667140857,0.8450800000000008,0.8515699999999992,0.8608016666666665,0.8942900000000005,0.8457924142806431,0.8492385679488813,0.8648671186864986,0.8869700201494618
2000-11-28,0.8561,0.8406,1.8439210088032307,0.8434400000000009,0.8494299999999992,0.8598116666666665,0.8933558333333339,0.8440616095204289,0.8476679192309029,0.8640714754508757,0.8862035735354211
2000-11-29,0.865,0.8561,1.0395981777829717,0.8451800000000007,0.8492099999999991,0.8592699999999999,0.8925041666666672,0.8480744063469526,0.8492010248252841,0.8638101156000273,0.885705993807563
2000-11-30,0.8684,0.865,0.3930635838150241,0.8496000000000008,0.8497499999999991,0.8589899999999999,0.8916825000000005,0.8537162708979685,0.8520735657661416,0.8638491282033051,0.8853637459760331
2000-12-01,0.8735,0.8684,0.5872869645324855,0.8547400000000008,0.8508999999999991,0.8590033333333332,0.8909825000000005,0.8586108472653124,0.8550420083541158,0.8639983371146721,0.8850833534805614
2000-12-04,0.8908,0.8735,1.9805380652547202,0.8607200000000008,0.8528999999999991,0.8590033333333332,0.8902908333333338,0.863573898176875,0.8583980068351856,0.8643098670453385,0.8848918930924531
2000-12-05,0.881,0.8908,-1.1001347103727022,0.8707600000000006,0.8570999999999991,0.8595016666666665,0.8896808333333338,0.8726492654512501,0.8642892783196974,0.8651783959946716,0.8849895477520819
2000-12-06,0.8828,0.881,0.20431328036322632,0.8757400000000007,0.8604599999999991,0.8598283333333331,0.8890741666666672,0.8754328436341667,0.8673275913524796,0.8656971371096004,0.8849236048140311
2000-12-07,0.8943,0.8828,1.302673312188486,0.8793000000000006,0.864449999999999,0.8601183333333331,0.8885391666666672,0.8778885624227779,0.8701407565611197,0.8662578867125643,0.8848885039080141
2000-12-08,0.8895,0.8943,-0.5367326400536763,0.8844800000000006,0.8696099999999989,0.8605349999999998,0.8881541666666671,0.8833590416151853,0.8745333462772796,0.867177300262972,0.88504406582689
2000-12-11,0.8804,0.8895,-1.0230466554243955,0.8876800000000007,0.8741999999999989,0.8610016666666664,0.8877225000000005,0.8854060277434569,0.8772545560450469,0.8679091920576287,0.8851177176314042
2000-12-12,0.8782,0.8804,-0.24988641526578598,0.8856000000000005,0.8781799999999989,0.8614649999999997,0.8872866666666671,0.8837373518289713,0.8778264549459474,0.8683187267442638,0.8850397388275795
2000-12-13,0.8748,0.8782,-0.38715554543383723,0.8850400000000004,0.8803899999999988,0.8618666666666663,0.8867708333333338,0.8818915678859809,0.8778943722285023,0.868642702916583,0.8849266852932394
2000-12-14,0.8839,0.8748,1.0402377686328301,0.8834400000000006,0.8813699999999989,0.8623199999999998,0.8862150000000004,0.8795277119239873,0.8773317590960473,0.8688445815094819,0.884759302065252
2000-12-15,0.8984,0.8839,1.640457065278873,0.8813600000000005,0.8829199999999989,0.8628449999999996,0.8856608333333338,0.8809851412826583,0.8785259847149478,0.8693382017878595,0.8847450987253305
2000-12-18,0.8966,0.8984,-0.2003561887800561,0.8831400000000004,0.885409999999999,0.8630016666666662,0.885184166666667,0.8867900941884389,0.8821394420395027,0.8702910476308805,0.8849707995728457
2000-12-19,0.8903,0.8966,-0.7026544724514803,0.8863800000000005,0.885989999999999,0.8633283333333329,0.8847450000000004,0.8900600627922927,0.8847686343959567,0.8711536362331467,0.8851630177617243
2000-12-20,0.9059,0.8903,1.7522183533640414,0.8888000000000005,0.8869199999999988,0.8635716666666663,0.8842583333333337,0.8901400418615285,0.8857743372330554,0.8717813858648468,0.8852479265590513
2000-12-21,0.9146,0.9059,0.9603709018655404,0.8950200000000006,0.889229999999999,0.8639016666666663,0.8838600000000004,0.895393361241019,0.8894335486452272,0.8729000289512452,0.8855892831448521
2000-12-22,0.924,0.9146,1.027771703476938,0.9011600000000006,0.891259999999999,0.8644249999999996,0.8835300000000004,0.9017955741606793,0.8940092670733677,0.8742672411167781,0.886068799125929
2000-12-27,0.931,0.924,0.7575757575757582,0.9062800000000009,0.894709999999999,0.8652166666666663,0.8833275000000004,0.9091970494404529,0.8994621276054826,0.8758978233752444,0.8866957611238476
2000-12-28,0.9285,0.931,-0.26852846401719205,0.9131600000000007,0.899769999999999,0.8660633333333329,0.8831500000000004,0.9164646996269686,0.9051962862226675,0.8777044521170395,0.887428062592875
2000-12-29,0.9305,0.9285,0.21540118470651606,0.9208000000000007,0.9047999999999989,0.8669333333333328,0.8829483333333338,0.9204764664179792,0.9094333250912734,0.8793698799164809,0.8881069375913399
